season,teams,win,draw,lost,goals_for,goals_against,points,shot,short_on_target,free_kicks,pk_for,y_cards,r_cards
2023/2024,Manchester City,28,7,3,96,34,91,647,209,6,10,64,2
2023/2024,Arsenal,28,5,5,91,29,89,511,182,15,4,94,2
2023/2024,Liverpool,24,10,4,86,41,82,539,175,18,2,79,3
2023/2024,Aston Villa,20,8,10,76,61,68,470,159,17,3,89,2
2023/2024,Tottenham,20,6,12,74,61,66,555,198,11,5,90,3
2023/2024,Chelsea,18,9,11,77,63,63,430,137,13,3,77,7
2023/2024,Newcastle Utd,18,6,14,85,62,60,537,194,22,11,109,4
2023/2024,Manchester Utd,18,6,14,57,58,60,452,162,20,4,73,2
2023/2024,West Ham,14,10,14,60,74,52,504,152,14,2,82,1
2023/2024,Crystal Palace,13,10,15,57,58,49,499,175,14,2,84,4
2023/2024,Brighton,12,12,14,55,62,48,781,263,18,6,69,5
2023/2024,Bournemouth,13,9,16,54,67,48,427,134,11,5,71,0
2023/2024,Fulham,13,8,17,55,61,47,683,264,25,9,53,2
2023/2024,Wolves,13,7,18,50,65,46,543,182,15,6,83,1
2023/2024,Everton,13,9,16,40,51,42,542,196,9,8,79,1
2023/2024,Brentford,10,9,19,56,65,39,450,143,7,1,82,3
2023/2024,Nott'ham Forest,9,9,20,49,67,32,360,117,8,5,101,5
2023/2024,Luton Town,6,8,24,52,85,26,582,207,11,2,92,4
2023/2024,Burnley,5,9,24,41,78,24,445,146,17,4,82,3
2023/2024,Sheffield Utd,3,7,28,35,104,16,425,153,12,4,102,4
2022/2023,Manchester City,28,5,5,94,33,89,589,194,16,3,51,0
2022/2023,Arsenal,26,6,6,88,43,84,427,145,18,3,80,1
2022/2023,Manchester Utd,23,6,9,58,43,75,358,126,14,0,68,0
2022/2023,Newcastle Utd,19,14,5,68,33,71,400,147,14,7,57,1
2022/2023,Liverpool,19,10,9,75,47,67,607,219,12,6,58,0
2022/2023,Brighton,18,8,12,72,53,62,481,151,10,3,81,3
2022/2023,Aston Villa,18,7,13,51,46,61,423,133,23,1,82,3
2022/2023,Tottenham,18,6,14,70,63,60,426,143,12,3,81,2
2022/2023,Brentford,15,14,9,58,46,59,420,137,17,5,80,1
2022/2023,Fulham,15,7,16,55,53,52,459,141,19,1,89,3
2022/2023,Crystal Palace,11,12,15,40,49,45,412,142,14,3,63,2
2022/2023,Chelsea,11,11,16,38,47,44,601,203,7,2,57,1
2022/2023,Wolves,11,8,19,31,58,41,590,205,20,9,44,1
2022/2023,West Ham,11,7,20,42,55,40,590,206,20,3,78,2
2022/2023,Bournemouth,11,6,21,37,71,39,565,184,15,6,61,1
2022/2023,Nott'ham Forest,9,11,18,38,68,38,362,111,9,3,84,0
2022/2023,Everton,8,12,18,34,57,36,413,132,17,2,73,0
2022/2023,Leicester City,9,7,22,51,68,34,512,186,14,5,77,3
2022/2023,Leeds United,7,10,21,48,78,31,466,133,13,6,44,0
2022/2023,Southampton,6,7,25,36,73,25,409,119,18,3,85,6
2021/2022,Manchester City,29,6,3,99,26,93,581,186,21,5,67,4
2021/2022,Liverpool,28,8,2,94,26,92,461,159,20,3,81,2
2021/2022,Chelsea,21,11,6,76,33,74,436,141,11,6,65,3
2021/2022,Tottenham,22,5,11,69,40,71,482,141,15,4,72,2
2021/2022,Arsenal,22,3,13,61,48,69,405,119,14,1,68,2
2021/2022,Manchester Utd,16,10,12,57,57,58,583,200,26,8,63,1
2021/2022,West Ham,16,8,14,60,51,56,404,140,13,6,69,1
2021/2022,Leicester City,14,10,14,62,59,52,430,130,18,6,82,6
2021/2022,Brighton,12,15,11,42,44,51,480,142,13,5,101,3
2021/2022,Wolves,15,6,17,38,43,51,433,164,14,2,55,1
2021/2022,Newcastle Utd,13,10,15,44,62,49,721,237,13,7,50,1
2021/2022,Crystal Palace,11,15,12,50,46,48,704,237,17,7,42,1
2021/2022,Brentford,13,7,18,48,56,46,503,179,19,3,77,2
2021/2022,Aston Villa,13,6,19,52,54,45,446,142,15,3,81,2
2021/2022,Southampton,9,13,16,43,67,40,370,104,18,3,57,1
2021/2022,Everton,11,6,21,43,66,39,478,161,24,4,65,2
2021/2022,Leeds United,9,11,18,42,79,38,486,185,16,5,69,1
2021/2022,Burnley,7,14,17,34,53,35,397,123,24,1,63,3
2021/2022,Watford,6,5,27,34,77,23,443,142,13,4,52,3
2021/2022,Norwich City,5,7,26,23,84,22,401,133,13,1,62,2
2020/2021,Manchester City,27,5,6,83,32,86,453,140,23,6,49,5
2020/2021,Manchester Utd,21,11,6,73,44,74,514,178,16,5,71,4
2020/2021,Liverpool,20,9,9,68,42,69,478,134,15,6,49,6
2020/2021,Chelsea,19,10,9,58,36,67,381,124,15,3,48,0
2020/2021,Leicester City,20,6,12,68,50,66,546,193,16,8,51,3
2020/2021,West Ham,19,8,11,62,47,65,345,127,18,3,56,2
2020/2021,Tottenham,18,8,12,68,45,62,395,143,15,4,59,2
2020/2021,Arsenal,18,7,13,55,39,61,436,125,12,3,67,3
2020/2021,Leeds United,18,5,15,62,54,59,518,193,9,4,61,1
2020/2021,Everton,17,8,13,47,48,59,473,170,20,10,61,0
2020/2021,Aston Villa,16,7,15,55,46,55,602,204,22,6,40,0
2020/2021,Newcastle Utd,12,9,17,46,62,45,590,211,21,5,46,2
2020/2021,Wolves,12,9,17,36,52,45,515,196,21,10,64,1
2020/2021,Crystal Palace,12,8,18,41,66,44,390,130,25,6,65,3
2020/2021,Southampton,12,7,19,47,68,43,319,92,5,3,73,3
2020/2021,Brighton,9,14,15,40,46,41,418,157,20,5,52,3
2020/2021,Burnley,10,9,19,33,55,39,438,167,35,5,57,2
2020/2021,Fulham,5,13,20,27,53,28,335,106,16,4,51,4
2020/2021,West Brom,5,11,22,35,76,26,464,158,17,2,50,3
2020/2021,Sheffield Utd,7,2,29,20,63,23,459,149,18,4,55,1
2019/2020,Liverpool,32,3,3,85,33,99,403,146,19,3,88,5
2019/2020,Manchester City,26,3,9,102,35,81,453,147,21,1,70,1
2019/2020,Manchester Utd,18,12,8,66,36,66,385,117,21,4,78,3
2019/2020,Chelsea,20,6,12,69,54,66,460,139,11,1,59,2
2019/2020,Leicester City,18,8,12,67,41,62,384,124,18,3,67,0
2019/2020,Tottenham,16,11,11,61,47,59,618,210,29,7,60,0
2019/2020,Wolves,15,14,9,51,40,59,373,115,15,3,62,2
2019/2020,Arsenal,14,14,10,56,48,56,468,159,20,1,76,3
2019/2020,Sheffield Utd,14,12,12,39,39,54,533,183,20,5,43,3
2019/2020,Burnley,15,9,14,43,50,54,586,224,20,5,38,1
2019/2020,Southampton,15,7,16,51,60,52,735,250,27,6,64,4
2019/2020,Everton,13,10,15,44,56,49,530,201,33,10,73,0
2019/2020,Newcastle Utd,11,11,16,38,58,44,398,132,14,0,66,3
2019/2020,Crystal Palace,11,10,17,31,50,43,407,126,16,2,68,3
2019/2020,Brighton,9,14,15,39,54,41,352,109,4,1,63,2
2019/2020,West Ham,10,9,19,49,62,39,494,171,27,2,55,4
2019/2020,Aston Villa,9,8,21,41,67,35,440,154,21,3,84,3
2019/2020,Bournemouth,9,7,22,40,65,34,416,112,18,7,80,3
2019/2020,Watford,8,10,20,36,64,34,413,156,13,4,64,1
2019/2020,Norwich City,5,6,27,26,75,21,457,142,13,4,61,2
